tag,value,copyCount,author
晚安,晚安/晚安，换个世界想你，一会儿见。,0,网络
晚安,晚安/晚安吻只能亲额头，不然小朋友容易蛀牙。,0,网络
晚安,晚安/你得眼神太温柔了，笑起来融化了老夫的少女心。,0,网络
晚安,晚安/我是大白兔奶糖，融化了就黏你身上。,0,网络
晚安,晚安/睡觉吧，不然我待会儿又要想你了。,0,网络
晚安,晚安/宝贝，我们梦里见鸭。,0,网络
晚安,晚安/睡觉不仅仅是睡觉，还要把你带进我的梦里。,0,网络
晚安,晚安/晚上不好好盖被子，不知道我会心疼嘛。,0,网络
晚安,晚安/如果夜里不能吃东西，那冰箱为什么有灯呢？,0,网络
晚安,晚安/睡觉前，别松开，再抱一下。,0,网络
晚安,晚安/今天的世界打烊了，已经不对外营业了，晚安。,0,网络
晚安,晚安/去睡觉吧仙女，女人熬夜掉秤。,0,网络
晚安,晚安/睡觉吧，你的头发不允许你瞎想。,0,网络
晚安,晚安/快睡吧，等我今晚跑到你梦里。,0,网络
晚安,晚安/你看星星都要睡了，我的星星也该睡了。,0,网络
晚安,晚安/我哪儿会说什么晚安情话，都是今晚的月色太迷人，你太美丽。,0,网络
晚安,晚安/花开窗外，你来我梦里。,0,网络
晚安,晚安/“你可以亲口和我说晚安嘛？” “可以啊” “那我先亲口再说”,0,网络
晚安,晚安/我最全世界说晚安，独独对你说喜欢。,0,网络
晚安,晚安/把星星熬成糖浆， 蘸一蘸你说过的晚安，然后再大口大口的吃掉。,0,网络
晚安,晚安/我只有两个心愿：你在身边，在你身边。,0,网络
晚安,晚安/零星的想你，也凑成了银河。,0,网络
晚安,晚安/我帮你关上月亮啦！,0,网络
晚安,晚安/要一起在彼此的梦里看月亮吗？,0,网络
晚安,晚安/等你熬过这一个又一个黑夜，初生的阳光一定很耀眼。,0,网络
晚安,晚安/说到底，猪到这个点大多都睡了，所以我的猪猪女孩你要去睡了吗？,0,网络
晚安,晚安/精致的女孩可都不会熬夜的呢？,0,网络
晚安,晚安/去睡吧，在梦里梦到我难道不好吗？,0,网络
晚安,晚安/晚安，明天我还爱你。,0,网络
晚安,晚安/如果我有梦到你，放心不会让你孤单着。,0,网络
晚安,晚安/马上就要进入睡眠程序了，里边有个bug能让我闭上眼也能看到你。,0,网络
晚安,晚安/我要睡觉了，毕竟现在也只能睡觉。,0,网络
晚安,晚安/关于人类睡眠的谜团至今无解，我却了解我为何要赶紧入睡。,0,网络
晚安,晚安/玻璃落地时总来不及说它碎了，我却想我对你说的每一句晚安都刚好在你睡前。,0,网络
晚安,晚安/闭上眼若无睡意，就默念我对你说的晚安吧，晚安，晚安。,0,网络
晚安,晚安/细碎的烦恼我帮你扫，你只需要把月亮挂好，闭上眼睡个好觉。,0,网络
晚安,晚安/总想着再多聊一会儿，就好像明天起来会被你忘记，可你该睡了。,0,网络
晚安,晚安/你一眨眼，我就感觉心跳乱了半拍，你一闭眼，我就知道想你的夜开始了。,0,网络
晚安,晚安/你不知道的是，跟你道了晚安后的我，总是嘴角上扬着睡着了。,0,网络
晚安,晚安/以前的我期待着四季分明，遇见你后，四季如冬我也只觉暖暖。,0,网络
晚安,晚安/快睡吧，明天会有个我来说早安，那是又多喜欢你一点儿的我。,0,网络
晚安,晚安/ 我会在你的梦里撑起一把伞。,0,网络
晚安,晚安/ 遍尽银河，繁星碎云，都在你那双困顿的眼睛里。,0,网络
晚安,晚安/ 路灯在黑夜中尽职地守候，我也在守候晚安前的你。,0,网络
晚安,晚安/ 你去看看梦里的周公是不是像我一样帅。,0,网络
晚安,"晚安/我要睡觉啦,因为梦里都是你。",0,网络
晚安,"晚安/睡觉吧,不然我待会儿又要想你啦。",0,网络
晚安,"晚安/时间不够用,只好去你梦里偷点晚安。",0,网络
晚安,"晚安/你要裹紧被子早早睡,不然我在梦里找不到
8有你说晚安,我才好入眠。",0,网络
